numinSet,sample,geno,geno-id,group,Run,fullnum,ICP.run,WR.run,ICP.runnum,run.date,SampleWeight,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
1,RS18-147.5,SNJERO,CIMMYTMA-024936,peru,14,14,1,1,14,00:34:45 Fri 20-Jul-18,76.2,-0.009486722,45.54204424,23.41531077,1649.924967,7.844081779,2271.913107,821.020406,18846.61848,1535.516749,74.87216659,44.12318235,0.012341136,0.031818991,9.410774392,12.91506448,0.067151557,0.031904616,12.29391493,10.31801346,1.25144505,0.006896042
2,RS18-146.1,CPUNTI,CIMMYTMA-018249,peru,13,13,1,1,13,00:30:43 Fri 20-Jul-18,75.6,-0.000319662,76.34667716,23.76525255,1798.033915,12.89241302,1709.338305,1013.683313,18454.26091,3575.600867,91.04653907,68.46864703,0.025028082,0.063380357,7.521704915,14.05798311,0.102454002,0.046971263,10.2632592,21.70072258,2.759310541,0.014398068
3,RS18-142.1,ARROAM,CIMMYTMA-020943,mexico,12,12,1,1,12,00:26:42 Fri 20-Jul-18,82.8,0.046221713,43.50522102,47.96211127,983.0903053,36.13964408,1829.016307,1128.554138,16510.61036,4562.712218,154.5713439,68.47243628,0.038226336,0.064365166,10.98679231,12.30410255,0.455041122,0.049961803,4.522444731,29.15810576,1.540268045,0.069430513
4,RS18-142.4,ARROAM,CIMMYTMA-020943,mexico,10,10,1,1,10,00:18:34 Fri 20-Jul-18,77.5,0.010186884,70.3466907,64.28995456,1747.83448,24.73365494,1632.753736,1355.690172,20815.13801,3449.415049,132.7812669,86.35686283,0.047488381,0.323302964,10.73396157,23.81598698,0.214122038,0.065069463,5.84059336,20.4891541,2.032667082,0.071288626
5,RS18-B73.4,B73,B73,B73,9,9,1,1,9,00:14:32 Fri 20-Jul-18,75.1,0.043207468,129.1824416,28.30780138,1850.377017,33.48285051,1578.959579,1553.702302,16798.40835,5844.983237,133.4480602,65.33485762,0.041252458,0.069154348,10.86999048,20.56825769,0.187049404,0.057435296,3.912541757,26.5737664,1.45622566,0.027853795
7,RS18-146.4,CPUNTI,CIMMYTMA-018249,peru,7,7,1,1,7,00:06:29 Fri 20-Jul-18,76.6,0.013898951,65.23872647,27.2404618,3255.050257,18.02313178,1630.101234,862.5042875,13747.02028,6664.265601,87.83360346,117.4609254,0.036026805,0.110065531,6.829430552,21.31809838,0.113504388,0.07399593,5.34927485,34.72525445,1.523373596,0.013032717
9,RS18-147.4,SNJERO,CIMMYTMA-024936,peru,5,5,1,1,5,23:58:25 Thu 19-Jul-18,75.7,0.039759531,66.75285583,42.06599871,2597.310346,33.53039078,2572.772689,1831.427069,16761.84701,5250.842036,153.091175,155.7074027,0.039231081,0.070700432,19.91721007,16.99554379,0.199676731,0.083344557,5.319800006,42.7212918,2.872787007,0.010932051
11,RS18-B73.5,B73,B73,B73,3,3,1,1,3,23:50:22 Thu 19-Jul-18,80.2,0.013362247,103.9803918,20.66870497,2148.558381,12.43300477,1897.045895,1657.559544,19630.65704,6291.072851,81.23539769,39.99533314,0.030165846,0.067619443,10.33677636,25.98676944,0.084241147,0.048264151,4.476933349,27.94003809,1.323307252,0.006277531
12,RS18-145.3,AZUL,CIMMYTMA-016091,mexico,2,2,1,1,2,23:46:21 Thu 19-Jul-18,75.6,0.004193063,61.30496903,54.82693703,1701.748132,26.30653707,2175.471098,1802.200435,21980.21467,5494.939365,145.4012,107.4766695,0.035902659,0.177799249,7.397309871,11.465324,0.226935728,0.053617391,5.467146794,25.59649492,2.519790608,0.044148898
13,RS18-150.3,CONMOR9,CIMMYTMA-012471,peru,15,15,1,1,15,00:38:46 Fri 20-Jul-18,75.3,0.039353207,105.8566339,52.11183887,2196.934804,36.86793574,1783.158727,1339.489647,13438.08107,7660.94555,185.307354,240.875673,0.055642006,0.070733113,12.94683945,21.78316936,0.394127258,0.068905398,3.187948348,49.04472638,2.00112395,0.013865048
