"","qst_elevation","qst_continent"
"CE_20_3",NA,NA
"DG_34_2",4.51861708673531e-07,0
"DG_36_2",NA,NA
"DG_36_3",NA,NA
"DG_36_4",0,0
"LPC_16_0",0.0199385105827766,0.013580732235227
"LPC_18_0",0.031072298510478,0
"LPC_18_1",0.0690214328568533,0.0190263356870483
"LPC_18_2",0.0957083186161971,0.0350555251632408
"LPC_18_3",0.00984106337145002,0.0348045532670567
"PC_16_0__9_0_CHO",0.0220309347448736,0
"PC_32_0",0.04050067830363,1.19064612699417e-10
"PC_32_1",0.00340450336082879,4.99811910116494e-09
"PC_32_2",0.0522944691578982,0
"PC_33_2",0,0
"PC_34_1",0,0
"PC_34_2",0,0
"PC_34_3",0,0
"PC_34_4",0,0
"PC_35_1",NA,NA
"PC_35_2",0.142693080917094,0.0464453985093455
"PC_35_3",0,0
"PC36_1",0,0
"PC_36_2",0,0.00240871646921077
"PC_36_3_A",0,0
"PC_36_3_B",0,0
"PC_36_4_A",0,0
"PC_36_4_C",NA,NA
"PC_36_5_A",0.0470987728356346,0.012556906906101
"PC_36_5_B",0.125595950679375,0
"PC_37_3",0.0716952701231664,0
"PC_38_2",1.43387502299989e-09,0
"PC_38_3_K",0.123590820803835,0
"PC_38_5_A",0.03837679005465,0
"PC_p_34_2__PC_o_34_3",0.117277545821189,0
"PC_p_36_3__PC_o_36_4",0.0375570715461553,0.00714246867354342
"PC_p_36_4__PC_o_36_5",NA,NA
"PE_34_2",1.38947008056357e-10,5.56095707789846e-09
"SM_d32_1",0,0
"SM_d36_1",0.217192091947293,7.01935318114598e-09
"TG_46_0",NA,NA
"TG_46_3",0,6.24262586529292e-07
"TG_48_0",1.05598387800623e-08,0
"TG_48_1",6.55950559897286e-11,0
"TG_48_2",0.198875284262115,0
"TG_48_3",1.60411993460331e-10,0
"TG_50_0",1.66503671626197e-09,0
"TG_50_1",4.06557332990987e-09,0
"TG_50_2",0,0
"TG_50_3",0,0
"TG_50_4",7.27382245264927e-10,0
"TG_50_5",0.00299505265339717,0.00772709623239539
"TG_52_0",0,0
"TG_52_1",0,0
"TG_52_2",0,0
"TG_52_3",0,0
"TG_52_4",0.045680195450425,1.76821834143886e-10
"TG_52_5",0.0876821544205788,7.29912883760449e-08
"TG_52_6",0.072832317234343,2.17539079623415e-09
"TG_54_1",NA,NA
"TG_54_2",0.113639871146417,0
"TG_54_3",7.62642890161839e-08,0
"TG_54_4",0,0
"TG_54_5",0,0
"TG_54_6",NA,NA
"TG_54_8",NA,NA
"TG_56_4",0,3.65692167286181e-10
"LPCs",0.0830084210614214,0.0447732583018094
"PCs",9.27651338978782e-16,0
"PC_LPC",0.0772160869057317,6.62644004074529e-08
