SAMPLE ID,Genotype,N,P31,K,Ca,Mg,S,Fe,Mn,Zn,Cu,B,Na,Al,N Index,P Index,K Index,Ca Index,Mg Index,S Index,Fe Index,Mn Index,Zn Index,Cu Index,B Index,N:S,N:K,Fe:Mn
1.1,WT,2,0.23,1.71,0.28,0.19,0.17,68.4,18.2,29.5,5.39,4.84,0.01,41.2,34,45,53,54,55,55,54,51,60,52,51,11.7,1.17,3.75
1.2,WT,1.76,0.2,1.69,0.26,0.19,0.15,63.8,16.3,26.9,4.58,4.69,0.01,42.3,27,36,53,53,55,53,54,50,58,51,51,11.6,1.04,3.91
2.1,WT,2.07,0.22,1.78,0.27,0.19,0.16,70.2,18,33.9,5.82,4.54,0.01,42.3,36,44,55,53,55,54,54,51,63,53,51,13.2,1.16,3.9
2.2,WT,2.24,0.22,1.9,0.28,0.22,0.14,78.9,16.8,39.9,6.14,4.47,0.01,52.7,42,42,58,53,57,53,55,50,67,53,51,15.5,1.18,4.69
3.1,WT,2.11,0.23,1.61,0.28,0.22,0.15,74.8,25.2,56.5,6.53,4.43,0.01,50.2,38,44,51,53,57,53,55,52,78,54,51,14.3,1.31,2.97
3.2,WT,1.96,0.2,1.53,0.29,0.25,0.15,86.5,24.6,49.1,6.07,4.92,0.01,73.7,33,36,46,54,58,53,56,52,73,53,51,13.3,1.28,3.51
4.1,CR,2.06,0.23,1.63,0.31,0.21,0.16,87.7,25,46.7,6.3,5.04,0.01,63.1,36,47,51,55,56,54,56,52,72,53,52,12.9,1.26,3.51
4.2,CR,1.91,0.2,1.68,0.24,0.19,0.15,68.3,18.7,34.5,5.31,4.1,0,33.3,32,37,52,52,55,53,54,51,63,52,50,13,1.14,3.66
5.1,WT,2.04,0.2,1.94,0.23,0.17,0.16,89.1,19.1,37.4,5.67,4.23,0,74.4,36,36,59,51,54,54,56,51,65,53,50,13,1.05,4.68
5.2,WT,2.17,0.23,1.91,0.24,0.18,0.16,80.7,18.6,30.3,6.05,4.43,0.01,51.5,39,45,59,52,54,54,56,51,60,53,51,13.6,1.14,4.33
6.1,CR,2.62,0.22,1.86,0.23,0.18,0.15,63.3,19.6,32.2,6.03,4.52,0.01,26.1,53,43,57,51,54,53,54,51,61,53,51,17.5,1.41,3.23
6.2,CR,2.11,0.22,1.94,0.21,0.16,0.15,66.3,17.9,31.7,6.02,4.16,0.01,43.7,38,41,59,51,53,53,54,51,61,53,50,14.1,1.09,3.71
7.1,WT,1.79,0.2,1.8,0.22,0.16,0.14,64.2,21.5,37.7,5.93,4.01,0.01,38.6,28,36,55,51,53,52,54,51,65,53,50,13,1,2.98
7.2,WT,2.24,0.19,1.99,0.22,0.15,0.15,71.4,18.3,43.1,6.4,4.18,0.01,31.4,41,32,61,51,53,54,55,51,69,54,50,14.5,1.12,3.9
8.1,CR,2.1,0.2,1.74,0.24,0.19,0.15,63.7,26.4,40.1,5.96,4.51,0.01,26.9,37,34,54,52,55,53,54,52,67,53,51,14.4,1.2,2.42
8.2,CR,2.05,0.18,1.89,0.23,0.19,0.15,67.1,18.8,39.4,6.46,4.23,0.01,33.7,36,27,58,52,55,53,54,51,67,54,50,13.8,1.08,3.57
9.1,WT,1.6,0.22,1.8,0.25,0.19,0.15,62.9,20.7,35.2,6.37,4.27,0.01,47.6,23,41,56,52,55,54,54,51,64,54,50,10.5,0.89,3.04
9.2,WT,1.98,0.19,1.89,0.23,0.16,0.15,65.4,19.2,32.1,5.31,3.96,0,41.7,34,30,58,52,53,53,54,51,61,52,49,13.4,1.05,3.4
10.1,CR,1.84,0.17,1.74,0.2,0.18,0.13,55.5,20.8,23.2,5.08,4.05,0.01,29.3,30,26,54,50,54,51,53,51,55,52,50,14.5,1.06,2.66
10.2,CR,1.7,0.17,2,0.21,0.18,0.13,69.9,20,31.6,5.45,4.51,0.01,41.7,25,24,61,51,55,52,54,51,61,52,51,12.9,0.85,3.49
11.1,WT,1.77,0.18,1.42,0.22,0.2,0.12,55.9,20.2,32.5,5.04,4.14,0.01,29,27,28,42,51,56,51,53,51,62,52,50,14.6,1.25,2.77
11.2,WT,1.91,0.17,1.63,0.24,0.21,0.13,60.7,21.6,41.1,5.39,4.68,0.01,31.7,32,23,51,52,56,52,53,51,68,52,51,14.8,1.17,2.81
12.1,CR,2.02,0.21,1.7,0.25,0.2,0.15,71.3,19.4,33.6,6.16,4.2,0.01,42.4,35,38,53,52,56,53,55,51,62,53,50,13.8,1.19,3.68
12.2,CR,1.88,0.2,1.64,0.23,0.2,0.14,62.3,19.8,31,5.35,3.95,0,28.7,31,34,51,52,56,53,54,51,61,52,49,13.4,1.15,3.14
13.1,WT,1.74,0.19,1.67,0.23,0.2,0.14,68.8,15.6,26.4,5,4.38,0.01,45.7,27,31,52,52,55,53,54,50,57,51,51,12.2,1.05,4.4
13.2,WT,1.8,0.18,1.86,0.2,0.19,0.14,62.7,15.3,25.5,5.15,4.17,0.01,42.4,28,29,57,51,55,53,54,50,57,52,50,12.6,0.97,4.1
14.1,CR,1.91,0.2,1.82,0.21,0.16,0.15,63.4,16.5,26.6,5.61,4.47,0.01,29.9,32,36,56,51,53,53,54,50,57,52,51,12.8,1.05,3.84
14.2,CR,1.92,0.2,1.93,0.22,0.18,0.16,59.7,16,28,5.6,4.39,0.01,23.6,32,34,59,51,55,54,53,50,58,52,51,12.1,0.99,3.74
15.1,WT,2.04,0.2,1.72,0.22,0.18,0.14,62.5,18.5,25.9,5.6,4.71,0.01,23.4,35,36,54,51,54,53,54,51,57,52,51,14.2,1.18,3.37
