geneset,US,MH,GH,AN
LIPAS-PWY,0,0.0247,0.5055,0
LIPASYN-PWY,0.0261,0.9933,0.3389,0.017
PHOSLIPSYN2-PWY,0.2142,0.4891,1,1
PWY-3385,0,0.1162,0.9885,0
PWY-3561,0.8352,0.8823,0.9982,1
PWY-401,0,0,0.9958,0.0264
PWY-4762,1.00E-04,0.5059,0.9998,0
PWY-5269,0.9935,1,1,0.9996
PWY-5667,0.0017,0,0,1
PWY-5669,1,1,1,0.852
PWY-6118,0.0157,0.63,0.2362,0
PWY-6348,0.6579,0.9455,0.7071,1.00E-04
PWY-6351,0.9904,0.9992,1.00E-04,1
PWY-6352,0.9997,0.8629,0.1212,0.4363
PWY-6803,0,0.0072,0.0357,0
PWY-6952,0.6056,0.0096,0.7871,0.7815
PWY-7039,1,0.9831,1,0.969
PWY-7416,0,0.0003,0,0
PWY0-1319,0.9013,1,0.9988,1
PWY3O-450,0.9776,0.9999,1,0.9999
PWY4FS-2,0.0741,0.9945,1,0
PWY4FS-3,0.0003,0.4043,0.9966,0
PWY4FS-4,1.00E-04,0.4014,0.9956,0
PWY4FS-5,0.0403,0.971,1,0
PWY4FS-6,0,0.0023,0.5396,0.1292
PWY4FS-7,0.9977,1,1,1
PWY4FS-8,0.1066,0,0.0003,1
PWYQT-4427,0,0,0,1
TRIGLSYN-PWY,0.0377,0,0,0.9979
