Type,GENOTYPE,Long,Lat,Elevation,Race,CIMMYT_Availability
SeeD,CIMMYTMA-000003,-102.8333333,19.18333333,364,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000005,-101.8666667,19.5,1919,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000006,-103.661841,18.6781,23,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000009,-103.150318,18.783858,1030,TABLON,Add to Cart
SeeD,CIMMYTMA-000016,-102.648932,19.810436,1612,CONICO,Add to Cart
SeeD,CIMMYTMA-000017,-103.142683,18.797803,1040,CONICO,Add to Cart
SeeD,CIMMYTMA-000022,-101.799996,17.971798,60,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000023,-99.537659,17.167363,290,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000025,-99.365802,16.801211,102,VANDEN,Add to Cart
SeeD,CIMMYTMA-000033,-100.69796,18.300591,265,CONEJO,Add to Cart
SeeD,CIMMYTMA-000036,-100.5166667,18.23333333,272,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000039,-99.182896,17.599185,1423,PEPITI,Add to Cart
SeeD,CIMMYTMA-000044,-101.605,17.97833333,442,CONEJO,Add to Cart
SeeD,CIMMYTMA-000045,-99.550105,18.32716,729,PEPITI,Add to Cart
SeeD,CIMMYTMA-000046,-100.4333333,17.2,37,VANDEN,Add to Cart
SeeD,CIMMYTMA-000047,-99.541537,17.991595,542,VANDEN,Add to Cart
SeeD,CIMMYTMA-000060,-102.8333333,19.18333333,364,TABLON,Add to Cart
SeeD,CIMMYTMA-000063,-99.470661,17.434401,1259,CONICO,Add to Cart
SeeD,CIMMYTMA-000064,-101.303874,17.678521,123,VANDEN,Add to Cart
SeeD,CIMMYTMA-000065,-98.281497,16.735414,139,VANDEN,Add to Cart
SeeD,CIMMYTMA-000066,-100.249473,18.298628,513,DZITBA,Add to Cart
SeeD,CIMMYTMA-000067,-102.268729,20.119105,1579,DZITBA,Add to Cart
SeeD,CIMMYTMA-000069,-98.281497,16.735414,139,CONEJO,Add to Cart
SeeD,CIMMYTMA-000073,-98.038621,18.201341,1174,CHALQU,Add to Cart
SeeD,CIMMYTMA-000074,-98.11666667,18.28333333,1752,,Add to Cart
SeeD,CIMMYTMA-000075,-97.38333333,19.81666667,2001,CHALQU,Add to Cart
SeeD,CIMMYTMA-000083,-97.407682,18.627026,2007,ELOTCO,Add to Cart
SeeD,CIMMYTMA-000084,-98.107211,19.049826,2258,CACAHU,Add to Cart
SeeD,CIMMYTMA-000085,-98.22315,18.265172,1203,ELOTCO,Add to Cart
SeeD,CIMMYTMA-000086,-98.3,18.33333333,1053,PEPITI,Add to Cart
SeeD,CIMMYTMA-000087,-98.058526,18.275378,1277,ELOTCO,Add to Cart
SeeD,CIMMYTMA-000088,-97.353287,18.334624,1220,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000089,-97.353287,18.334624,1256,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000090,-97.6666667,18.6666667,1920,CONICO,Add to Cart
SeeD,CIMMYTMA-000091,-98.58333333,18.28333333,1027,PEPITI,Add to Cart
SeeD,CIMMYTMA-000092,-98.03333333,19.83333333,2325,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000093,-97.4,18.87,2429,CHALQU,Add to Cart
SeeD,CIMMYTMA-000095,-97.799311,18.98899,2175,CONICO,Add to Cart
SeeD,CIMMYTMA-000097,-97.45,20.03333333,482,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000100,-98.26666667,16.28333333,8,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000101,-94.6,16.58333333,74,CONICO,Add to Cart
SeeD,CIMMYTMA-000103,-96.104778,17.991023,90,CONICO,Add to Cart
SeeD,CIMMYTMA-000105,-97.786183,17.797223,1586,CONICO,Add to Cart
SeeD,CIMMYTMA-000109,-97.01666667,17.96666667,650,,Add to Cart
SeeD,CIMMYTMA-000110,-97.01666667,17.96666667,600,ELOTCO,Add to Cart
SeeD,CIMMYTMA-000116,-96.419028,15.925349,1337,NALTEL,Add to Cart
SeeD,CIMMYTMA-000117,-98.03333333,16.33333333,120,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000119,-96.466295,16.090806,2472,CHALQU,Add to Cart
SeeD,CIMMYTMA-000120,-96.104778,17.991023,68,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000121,-96.107882,18.037563,90,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000123,-95.915865,17.159199,1448,OLOTIL,Add to Cart
SeeD,CIMMYTMA-000125,-97.816661,16.95513,873,TUXPEN,Add to Cart
SeeD,CIMMYTMA-000126,-97.816661,16.95513,873,,Add to Cart
SeeD,CIMMYTMA-000127,-96.070626,18.002999,38,,Add to Cart
SeeD,CIMMYTMA-000128,-96.38,16.86,1738,,Add to Cart
SeeD,CIMMYTMA-000131,-98.03333333,16.33333333,120,,Add to Cart
SeeD,CIMMYTMA-000134,-94.601906,16.580327,79,ZAPCHI,Add to Cart
SeeD,CIMMYTMA-000135,-96.510111,16.938029,1635,BOLITA,Add to Cart
SeeD,CIMMYTMA-000136,-96.46666667,15.75,120,ZAPCHI,Add to Cart
SeeD,CIMMYTMA-000142,-103.661841,18.6781,250,,Add to Cart
SeeD,CIMMYTMA-000143,-103.666667,18.75,23,,Add to Cart
SeeD,CIMMYTMA-000144,-103.666667,18.75,23,,Add to Cart
SeeD,CIMMYTMA-000145,-102.268729,20.119105,1579,,Add to Cart
SeeD,CIMMYTMA-000146,-102.373599,19.08164,302,VANDEN,Add to Cart
SeeD,CIMMYTMA-000147,-102.833333,19.183333,366,,Add to Cart
SeeD,CIMMYTMA-000148,-103.661841,18.6781,183,,Add to Cart
SeeD,CIMMYTMA-000149,-102.363626,18.808584,381,,Add to Cart
SeeD,CIMMYTMA-000150,-102.373599,19.08164,302,,Add to Cart
SeeD,CIMMYTMA-000151,-102.841354,19.149824,427,OLOTIL,Add to Cart
SeeD,CIMMYTMA-000152,-102.373599,19.08164,302,TABLON,Add to Cart
