ROW_ID,FIELD,LOCATION,YEAR,ROW_NUM,PLANTED,PANEL,BLOCK,GENOTYPE,continent,pair,elevation,MUM_GEN,STD,EMD,GER,ELN,EPH,PH,P_INT,P_EXT,P_PAT,M_DEN,M_PAT,DTS,DTA,TBN,TL,PE,EH,EN,lipid_batch_number,CE_20_3,DG_34_2,DG_36_4,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_16_0__9_0_CHO,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_35_3,PC36_1,PC_36_2,PC_36_3_A,PC_36_3_B,PC_36_4_A,PC_36_4_C,PC_36_5_A,PC_36_5_B,PC_37_3,PC_38_2,PC_38_3_K,PC_38_5_A,PC_p_34_2__PC_o_34_3,PC_p_36_3__PC_o_36_4,PC_p_36_4__PC_o_36_5,PE_34_2,SM_d32_1,SM_d36_1,TG_46_0,TG_46_3,TG_48_0,TG_48_1,TG_48_2,TG_48_3,TG_50_0,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_0,TG_52_1,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_1,TG_54_2,TG_54_3,TG_54_4,TG_54_5,TG_54_6,TG_54_8,TG_56_4,LPCs,PCs,PC_LPC,PC34_1_LPC18_1,PC34_1_LPC18_2,logPC_LPC,ele_cont
RS16-2479,MT2016,MT,2016,2479,4/5/16,RUNCIE,BLOCK2,CIMMYTMA-012440,SA,28,High,CIMMYTMA-012440,6,64,8,5,55,235,1,100,1.5,1,0.5,138,135,20,43.5,6,125,2,2,NA,53868,20058,115534,21843,179065,4315630,880868,2368,42103,1610,2282,150928,64843,1048122,306668,5582,NA,45796,109701,3266,41147,65092,30788,285816,NA,226141,NA,NA,3375,NA,19469,NA,49091,NA,68667,9863,NA,NA,23239,10275,NA,NA,18152,NA,25135,305556,168775,25986,43041,NA,NA,65464,147760,1206121,1492211,605121,NA,NA,27420,102641,243230,NA,NA,14075,5512940,2452729,0.44490399,0.4,0,-0.3517336998487574,SA_High
RS16-2189,MT2016,MT,2016,2189,4/5/16,RUNCIE,BLOCK1,CIMMYTMA-018635,SA,11,High,CIMMYTMA-018635,9,64,10,4,106,205,2,100,3,2,1,113,111,13.5,40,9,92,2,2,NA,18719,2010,103835,15101,245188,3871399,2077699,4142,13785,1423,2530,56151,81753,1386752,888609,12278,NA,25722,44061,3590,34104,118758,48279,654352,NA,882326,NA,NA,1552,NA,12318,NA,37377,NA,42960,3156,NA,NA,1487,9348,NA,NA,2146,NA,18894,123812,121720,8322,8879,NA,NA,30350,57032,382549,689105,445814,NA,NA,15508,38307,102444,NA,NA,8476,6313222,4268343,0.676095819,0.3,0,-0.16999174960718852,SA_High
RS16-2492,MT2016,MT,2016,2492,4/5/16,RUNCIE,BLOCK2,CIMMYTMA-021797,SA,26,High,CIMMYTMA-021797,7,64,8,5,77,230,2,100,3,2,1,128,127,16.5,30,7,152.5,2,2,NA,46049,14842,189689,20920,218098,2980886,1598618,3947,21829,1398,2181,53411,120372,1531327,974857,17237,NA,28909,99133,2702,46076,106477,63961,479864,NA,47317,NA,NA,1957,NA,26830,NA,32564,NA,92621,3215,NA,NA,2105,3225,NA,NA,3228,NA,16457,142927,156184,12430,11257,NA,NA,30667,71856,670826,1414756,1158725,NA,NA,16069,45514,148339,NA,NA,5775,5008211,3625838,0.723978682,0.6,0,-0.1402742215593478,SA_High
RS16-2191,MT2016,MT,2016,2191,4/5/16,RUNCIE,BLOCK1,CIMMYTMA-015086,SA,18,Low,CIMMYTMA-015086,5,64,8,3,36,160,2,50,2,2,1,139,135,29,36,5,125,2,2,NA,21110,12190,68579,22695,454619,4087476,1268048,4215,19736,2768,3285,119762,182652,1814531,902959,12201,NA,27646,39049,11369,53117,201934,23469,723535,NA,747171,NA,NA,3011,NA,11832,NA,8155,NA,32093,4349,NA,NA,13999,10535,NA,NA,12475,NA,24596,156530,117506,9813,20079,NA,NA,41799,78998,392205,518840,307099,NA,NA,21144,45326,97321,NA,NA,9527,5901417,4900027,0.830313635,0.4,0,-0.0807578303305394,SA_Low
RS16-2472,MT2016,MT,2016,2472,4/5/16,RUNCIE,BLOCK2,CIMMYTMA-026714,SA,29,Low,CIMMYTMA-026714,7,64,9,5,46,165,2,50,2,2,1,148,146,23,37,7,122,2,2,NA,21178,2207,100102,14889,180846,3995949,1670807,9635,37483,2757,10584,71160,66916,1855007,1053838,10641,NA,31899,21230,7725,105378,103947,106418,746739,NA,786927,NA,NA,2573,NA,2607,NA,18268,NA,39761,4055,NA,NA,7008,1948,NA,NA,2553,NA,3320,128293,130332,9296,13867,NA,NA,40495,59020,290438,502458,355542,NA,NA,7106,44313,100080,NA,NA,8409,5962593,5023829,0.84255776,0.4,0,-0.07440031733719958,SA_Low
RS16-2247,MT2016,MT,2016,2247,4/5/16,RUNCIE,BLOCK1,CIMMYTMA-026714,SA,29,Low,CIMMYTMA-026714,5,64,7,5,42,235,1,75,2,3,1,157,126,NA,NA,5,105,0,2,NA,18550,7410,125820,27483,181651,3476807,844506,1233,43072,2717,9725,11465,61964,1425799,940305,9851,NA,31613,38750,5784,86387,74781,115462,506115,NA,821624,NA,NA,2360,NA,7619,NA,8601,NA,68749,2121,NA,NA,2471,5850,NA,NA,7552,NA,13494,174587,170202,20610,28751,NA,NA,54300,93737,774946,1326513,828448,NA,NA,9597,102710,265772,NA,NA,20160,4656267,4195393,0.90102071,0.3,0,-0.04526522645169982,SA_Low
RS16-2415,MT2016,MT,2016,2415,4/5/16,RUNCIE,BLOCK2,CIMMYTMA-025041,Mex,14,Low,CIMMYTMA-025041,10,64,10,4,57,212.5,1,50,2,3,1,157,156,NA,NA,10,192,1,4,1193,118156,56575,61124,7546,121079,4865289,1348555,3720,47228,4702,14422,15045,65493,NA,1478424,11336,NA,42706,35197,3000,48192,133567,55384,1299308,4916,2377113,NA,NA,4963,3057,5501,NA,NA,NA,179246,4305,NA,4783,NA,1984,NA,NA,NA,NA,12378,119342,NA,NA,NA,NA,NA,16267,51736,507963,798902,460107,NA,2142,7319,41752,93835,387758,406530,NA,6403593,5649554,0.882247513,0.5,0,-0.0544095571007578,Mex_Low
RS16-2423,MT2016,MT,2016,2423,4/5/16,RUNCIE,BLOCK2,CIMMYTMA-007294,Mex,28,Low,CIMMYTMA-007294,9,64,10,7,55,160,1,75,2,3,1,114,112,13,39,9,70,1,4,802,113603,58268,61505,6194,121949,4824205,1329134,2775,48435,4505,14403,18305,67228,NA,1503332,11304,NA,42418,34486,3753,47112,136797,57190,1336342,4897,2391249,NA,NA,6649,4318,4963,NA,NA,NA,183526,5197,NA,4464,NA,3025,NA,NA,NA,NA,12609,152701,NA,NA,NA,NA,NA,16797,45695,484867,775993,502678,NA,2620,7058,40246,94429,354382,396116,NA,6342987,5737686,0.904571616,0.6,0,-0.04355704390233983,Mex_Low
RS16-2190,MT2016,MT,2016,2190,4/5/16,RUNCIE,BLOCK1,CIMMYTMA-012290,SA,18,High,CIMMYTMA-012290,7,64,7,4,80,265,2,100,3,2,1,145,143,14.5,37,7,152.5,2,2,NA,29464,11433,87908,12525,99080,3252506,2015862,1680,18620,2737,3301,61539,48781,1366243,1054570,13907,NA,26734,68746,1754,46794,77053,86974,599523,NA,1216076,NA,NA,2403,NA,15438,NA,29329,NA,171711,6890,NA,NA,1719,11667,NA,NA,2054,NA,20253,66810,48193,8904,8432,NA,NA,30755,54542,354800,859007,702496,NA,NA,18756,37382,102828,NA,NA,6291,5467881,4711193,0.861612204,0.5,0,-0.06468815822153652,SA_High
RS16-2409,MT2016,MT,2016,2409,4/5/16,RUNCIE,BLOCK2,CIMMYTMA-012085,SA,6,High,CIMMYTMA-012085,9,64,10,6,80,250,2,100,2,0,0,135,135,26,47,9,190,2,3,NA,NA,11073,100081,40585,353109,6924728,3485918,2108,37354,2794,14543,22539,193323,3741179,1789782,28600,3885,38276,43560,13456,107252,226782,101285,1456578,9516,1480810,10085,11761,9684,NA,9935,NA,NA,29394,35641,NA,NA,NA,NA,9742,2465,NA,NA,3261,13448,76121,48662,11077,27690,NA,2738,26647,36501,326473,515681,NA,1999,2005,18014,31957,67438,NA,NA,2860,10904421,9352979,0.857723578,0.5,0,-0.06665265123942045,SA_High
