metabolite,class,qst_elevation,qst_continent,qst_elevation_mex,qst_elevation_sa
LPC-18:0,LPC,0.00476283,0.002957248,0,0.004070147
PC-32:2,PC,0.065316772,5.32E-10,0,0.123789831
PC-36:3B,PC,0.000861811,0.03488668,0,0
PC-36:4A,PC,0.031036682,0.043032547,0,0.075705561
PC-38:2,PC,0.006822723,0.001518842,0,0.017237719
PE:34:2,PE,0.020362053,0.045643208,0,0.085592233
TG:50:2,TG,0.02541148,0,0,0.05616226
TG:52:2,TG,0,3.03E-10,0,0.012304703
TG:54:3,TG,0.00085223,0.002905167,0,0.009171303
PC-35:3,PC,0,3.52E-10,2.73E-10,0
LPC-18:1,LPC,8.04E-10,0.02645018,4.57E-10,0.022710446
LPC-18:3,LPC,0,0.077411868,0.000636104,0.006679374
LPC-16:0,LPC,0,0.003126898,0.004869084,0
TG:50:1,TG,0.001226732,0,0.006362242,0
TG:48:0,TG,0.007972166,1.11E-09,0.011327416,9.19E-11
PC-34:3,PC,0.006982301,0.020508778,0.014030456,0.000867139
DG:34:2,DG,0,0,0.01783573,0
PC-36:3A,PC,0,0,0.022284944,0.006017283
PC-33:2,PC,0,0,0.024947662,0
PC-34:4,PC,0.030133665,0.02774501,0.025226042,0.020545538
PC-36:2,PC,0,0.011709325,0.026916922,0.014897262
PC-32:1,PC,0.040311054,0,0.032361622,0.056654087
TG:52:3,TG,0.00516999,7.61E-10,0.032832078,0.024238322
PC-36:1,PC,6.30E-11,8.42E-05,0.034262258,0.024588732
TG:52:6,TG,0.045131416,0,0.041191707,0.034673542
LPC-18:2,LPC,0.012429673,0.044334403,0.049725094,0
PC-34:2,PC,0.046272982,0,0.052140526,0.050162995
TG:50:3,TG,0.039100287,0.004463204,0.054201456,0.027559468
PC-36:5A,PC,0.002946607,0.046113509,0.055642837,0
TG:52:4,TG,0.088925241,1.07E-08,0.080135684,0.090661131
TG:54:5,TG,0.028096208,0,0.082672441,0.026145795
PC-34:1,PC,0,0.005311554,0.104307503,0.001497006
SM:d32:1,SM,1.30E-09,0.021406913,0.123414025,0
TG:54:2,TG,0,1.79E-08,0.137543132,0
TG:50:5,TG,0.006066962,0.037356795,0.141717157,0.04649647
TG:54:4,TG,0.018090662,0.001924933,0.15677929,0.033710587
PC-35:2,PC,0.086270611,1.02E-09,0.15678218,0.061701079
TG:52:5,TG,0.129631751,0,0.189530208,0.097387024
TG:50:4,TG,0.019661644,0,0.198886339,0
DG:36:4,DG,0.040614176,0,0.210542383,0
PC-38:5A,PC,0.075344235,0,0.245682357,0.016692489
PC-38:3K,PC,0.01870639,0,0.274079829,0
DG:36:3,DG,0.127077775,0.005050257,0.293759606,3.16E-09
PC-32:0,PC,0.158257453,0,0.305215106,0.119984767
TG:56:4,TG,0.019019245,0,0.308551389,0
PC-36:4C,PC,0.273699347,0,0.488455597,0.342850653
PC-36:5B,PC,0.356150615,0,1,0.479838811
PC-37:3,PC,6.09E-09,0.137762959,1,0.040378572
TG:50:0,TG,0.461260881,0,1,0.530937535
