sample_id	accn_GID	testcross_GID
SEEDGWAS4587	24956	No TC
SEEDGWAS4274	34580	CML 312 genotyping control
SEEDGWAS4275	34575	CML 444 genotyping control
SEEDGWAS4609	25496	No TC
SEEDGWAS4405	19676	No TC
SEEDGWAS5089	28273	No TC
SEEDGWAS1	273	241071
SEEDGWAS10	5509	241080
SEEDGWAS1000	27004	242071
SEEDGWAS1001	27012	242072
SEEDGWAS1003	27086	242074
SEEDGWAS1004	27110	242075
SEEDGWAS1005	27119	242076
SEEDGWAS1006	27507	242077
SEEDGWAS1007	27713	242078
SEEDGWAS1008	27815	242079
SEEDGWAS1009	27839	242080
SEEDGWAS101	8190	241171
SEEDGWAS1011	27908	242082
SEEDGWAS1012	27915	242083
SEEDGWAS1014	27993	242085
SEEDGWAS1015	28031	242086
SEEDGWAS1017	28318	242088
SEEDGWAS1019	28477	242090
SEEDGWAS1020	28482	242091
SEEDGWAS1022	28487	242093
SEEDGWAS1023	28490	242094
SEEDGWAS1024	28492	242095
SEEDGWAS1025	28537	242096
SEEDGWAS1026	28542	242097
SEEDGWAS1027	28558	242098
SEEDGWAS1028	28789	242099
SEEDGWAS1029	28825	242100
SEEDGWAS103	8198	241173
SEEDGWAS1030	28863	242101
SEEDGWAS1031	28883	242102
SEEDGWAS1032	28886	242103
SEEDGWAS1033	28897	242104
SEEDGWAS1034	28906	242105
SEEDGWAS1035	28985	242106
SEEDGWAS1036	29273	242107
SEEDGWAS1037	29282	242108
SEEDGWAS1039	29582	242110
SEEDGWAS104	8199	241174
SEEDGWAS1040	29585	242111
SEEDGWAS1041	29589	242112
SEEDGWAS1042	29619	242113
SEEDGWAS1043	29623	242114
SEEDGWAS1044	29624	242115
SEEDGWAS1045	30079	242116
SEEDGWAS1048	30084	242119
SEEDGWAS1049	30096	242120
SEEDGWAS105	8237	241175
SEEDGWAS1050	30097	242121
SEEDGWAS1051	30108	242122
SEEDGWAS1053	30146	242124
SEEDGWAS1054	30149	242125
SEEDGWAS1055	30150	242126
SEEDGWAS1056	30158	242127
SEEDGWAS1057	30159	242128
SEEDGWAS1058	30161	242129
SEEDGWAS1059	30189	242130
SEEDGWAS106	8294	241176
SEEDGWAS1060	30196	242131
SEEDGWAS1061	30199	242132
SEEDGWAS1062	30200	242133
SEEDGWAS1063	30205	242134
SEEDGWAS1064	30212	242135
SEEDGWAS1065	30213	242136
SEEDGWAS1066	30218	242137
SEEDGWAS1067	30225	242138
SEEDGWAS1068	30228	242139
SEEDGWAS1069	30232	242140
SEEDGWAS107	8343	241177
SEEDGWAS1070	30233	242141
SEEDGWAS1071	30235	242142
SEEDGWAS1073	30242	242144
SEEDGWAS1074	30256	242145
SEEDGWAS1075	30267	242146
SEEDGWAS1076	30270	242147
SEEDGWAS1077	30273	242148
SEEDGWAS1078	30274	242149
SEEDGWAS1081	30285	242152
SEEDGWAS1082	30288	242153
SEEDGWAS1083	30297	242154
SEEDGWAS1084	30300	242155
SEEDGWAS1085	2853	242156
SEEDGWAS1086	3314	242157
SEEDGWAS1087	3684	242158
SEEDGWAS1088	3698	242159
SEEDGWAS1089	5339	242160
SEEDGWAS1090	5499	242161
SEEDGWAS1091	5884	242162
SEEDGWAS1092	7945	242163
SEEDGWAS1094	8409	242165
SEEDGWAS1095	8647	242166
SEEDGWAS1096	8692	242167
SEEDGWAS1097	8923	242168
SEEDGWAS1098	9848	242169
SEEDGWAS1099	11030	242170
SEEDGWAS1100	11736	242171
SEEDGWAS1101	11737	242172
SEEDGWAS1102	12023	242173
SEEDGWAS1103	12039	242174
SEEDGWAS1104	12047	242175
SEEDGWAS1105	12488	242176
SEEDGWAS1106	15997	242177
SEEDGWAS1107	17558	242178
SEEDGWAS1108	19327	242179
SEEDGWAS1109	19338	242180
SEEDGWAS111	8355	241181
SEEDGWAS1110	20674	242181
SEEDGWAS1111	21866	242182
SEEDGWAS1113	23547	242184
SEEDGWAS1114	23617	242185
SEEDGWAS1115	23866	242186
SEEDGWAS1117	23915	242188
SEEDGWAS1118	24099	242189
SEEDGWAS112	8395	241182
SEEDGWAS1120	24358	242191
SEEDGWAS1121	24450	242192
SEEDGWAS1122	24451	242193
SEEDGWAS1124	24623	242195
SEEDGWAS1125	24628	242196
SEEDGWAS1126	24966	242197
SEEDGWAS1128	25378	242199
SEEDGWAS113	8805	241183
SEEDGWAS1130	25395	242201
SEEDGWAS1131	25407	242202
SEEDGWAS1133	25453	242204
SEEDGWAS1134	25485	242205
SEEDGWAS1135	26314	242206
SEEDGWAS1136	26337	242207
SEEDGWAS1137	26476	242208
SEEDGWAS1138	26732	242209
SEEDGWAS114	8809	241184
SEEDGWAS1140	27005	242211
SEEDGWAS1141	27036	242212
SEEDGWAS1142	27041	242213
SEEDGWAS1143	27075	242214
SEEDGWAS1144	27416	242215
SEEDGWAS1145	27492	242216
SEEDGWAS1146	27501	242217
SEEDGWAS1147	27830	242218
SEEDGWAS1148	27852	242219
SEEDGWAS115	8829	241185
SEEDGWAS1150	27909	242221
SEEDGWAS1151	27916	242222
SEEDGWAS1152	27933	242223
SEEDGWAS1153	28321	242224
SEEDGWAS1154	28322	242225
SEEDGWAS1156	28862	242227
SEEDGWAS1157	28870	242228
SEEDGWAS1158	28876	242229
SEEDGWAS1159	28880	242230
SEEDGWAS116	8833	241186
SEEDGWAS1160	28881	242231
SEEDGWAS1161	28896	242232
SEEDGWAS1164	30262	242235
SEEDGWAS1165	276	242236
SEEDGWAS1166	500	242237
SEEDGWAS1167	844	242238
