id	general_identifier	number	name	bank_number	breeders_code	breeders_name	subtaxa_id	taxonomy_id	institution_id	breeder_id	plant_passport	donor_code	donor_name	donor_number	acqdate	collnumb	colldate	collcode	collname	collmissid	othernumb	duplsite	duplinstname	mlsstatus_id	puid	biologicalstatus_id	collsrc_id	location_id	created_on	updated_on	locations_id	locations_state	locations_region	locations_site_name	locations_elevation	locations_latitude	locations_longitude	countries_id	countries_country_code2	countries_country_code3	countries_country_name	subtaxa_id	subtaxa_subtaxa_author	subtaxa_taxonomic_identifier	taxonomies_id	taxonomies_genus	taxonomies_species	taxonomies_species_author	taxonomies_crop_name	taxonomies_ploidy	synonyms_synonym
1	11		11	CIMMYTMA-BANK-000001				2	3							MICHGP1	1960-01-01												2014-11-24 15:10:26.0																2	Zea	mays subsp. mays		Maize	2	
2	24		24	CIMMYTMA-BANK-000002				2	3							MICHGP2	1960-01-01												2014-11-24 15:10:26.0																2	Zea	mays subsp. mays		Maize	2	
3	33		33	CIMMYTMA-BANK-000003				2	3							MICH129	1946-01-01											9264	2014-11-24 15:10:26.0		9264			TEPALCATEPEC	364.0000000000	19.1833333300	-102.8333333000	484	MX	MEX	MEXICO				2	Zea	mays subsp. mays		Maize	2	
4	34		34	CIMMYTMA-BANK-000004				2	3							MICHGP4	1960-01-01												2014-11-24 15:10:26.0																2	Zea	mays subsp. mays		Maize	2	MICH,GP4
5	41		41	CIMMYTMA-BANK-000005				2	3							MICH200	1952-01-01											9388	2014-11-24 15:10:26.0		9388			TINGANBATO	1919.0000000000	19.5000000000	-101.8666667000	484	MX	MEX	MEXICO				2	Zea	mays subsp. mays		Maize	2	
6	52		52	CIMMYTMA-BANK-000006				2	3							MICH168	1952-02-15											2992	2014-11-24 15:10:26.0		2992		COAHUAYANA	EL RANCHITO	23.0000000000	18.6781000000	-103.6618410000	484	MX	MEX	MEXICO				2	Zea	mays subsp. mays		Maize	2	
7	60		60	CIMMYTMA-BANK-000007				2	3							MICHGP7	1960-01-01												2014-11-24 15:10:27.0																2	Zea	mays subsp. mays		Maize	2	
8	65		65	CIMMYTMA-BANK-000008				2	3							MICHGP8	1960-01-01												2014-11-24 15:10:27.0																2	Zea	mays subsp. mays		Maize	2	
9	67		67	CIMMYTMA-BANK-000011				2	3							MICHGP10	1960-01-01												2014-11-24 15:10:27.0																2	Zea	mays subsp. mays		Maize	2	
10	83		83	CIMMYTMA-BANK-000013				2	3							MICHGP12	1960-01-01												2014-11-24 15:10:27.0																2	Zea	mays subsp. mays		Maize	2	
11	87		87	CIMMYTMA-BANK-000014				2	3							MICHGP12	1960-01-01												2014-11-24 15:10:27.0																2	Zea	mays subsp. mays		Maize	2	
12	96		96	CIMMYTMA-BANK-000017				2	3							MICH155	1952-02-11											3011	2014-11-24 15:10:27.0		3011		COALCOMAN	EL RINCON	1040.0000000000	18.7978030000	-103.1426830000	484	MX	MEX	MEXICO				2	Zea	mays subsp. mays		Maize	2	
14	106		106	CIMMYTMA-BANK-000021				2	3							GUERGP1	1960-01-01												2014-11-24 15:10:27.0																2	Zea	mays subsp. mays		Maize	2	
15	273		273	CIMMYTMA-BANK-000028				2	3							GUERGP6	1960-01-01												2014-11-24 15:10:27.0																2	Zea	mays subsp. mays		Maize	2	
16	276		276	CIMMYTMA-BANK-000031				2	3							GUERGP9	1960-01-01												2014-11-24 15:10:27.0																2	Zea	mays subsp. mays		Maize	2	
17	277		277	CIMMYTMA-BANK-000036				2	3							GUER55	1947-01-01											9453	2014-11-24 15:10:27.0		9453			TLAPEHUALA	272.0000000000	18.2333333300	-100.5166667000	484	MX	MEX	MEXICO				2	Zea	mays subsp. mays		Maize	2	
18	278		278	CIMMYTMA-BANK-000037				2	3							GUERGP13	1960-01-01												2014-11-24 15:10:27.0																2	Zea	mays subsp. mays		Maize	2	
19	280		280	CIMMYTMA-BANK-000038				2	3							GUERGP14	1960-01-01												2014-11-24 15:10:28.0																2	Zea	mays subsp. mays		Maize	2	
20	281		281	CIMMYTMA-BANK-000042				2	3							GUERGP17	1960-01-01												2014-11-24 15:10:28.0																2	Zea	mays subsp. mays		Maize	2	
21	291		291	CIMMYTMA-BANK-000043				2	3							GUERGP18	1960-01-01												2014-11-24 15:10:28.0																2	Zea	mays subsp. mays		Maize	2	
22	301		301	CIMMYTMA-BANK-000057				2	3							GUERGP31	1960-01-01												2014-11-24 15:10:28.0																2	Zea	mays subsp. mays		Maize	2	
25	357		357	CIMMYTMA-BANK-000058				2	3							GUERGP32	1960-01-01												2014-11-24 15:10:28.0																2	Zea	mays subsp. mays		Maize	2	
26	495		495	CIMMYTMA-BANK-000060				2	3							MICH141	1952-01-01											9264	2014-11-24 15:10:29.0		9264			TEPALCATEPEC	364.0000000000	19.1833333300	-102.8333333000	484	MX	MEX	MEXICO				2	Zea	mays subsp. mays		Maize	2	
27	496		496	CIMMYTMA-BANK-000061				2	3							GUERGP35	1960-01-01												2014-11-24 15:10:29.0																2	Zea	mays subsp. mays		Maize	2	
