data$RILS,BLOCK,LPCs,PCs,PCs_LPCs,PC32_1.LPC_18_1,PC34_1.LPC_18_1,PC36_1.LPC_18_1,PC36_2.LPC_18_1,PC32_1.LPC_18_2,PC34_1.LPC_18_2,PC36_1.LPC_18_2,PC36_2.LPC_18_2,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_16_0__9_0_CHO,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_2,PC_35_3,PC36_1,PC_36_2,PC_36_3_A,PC_36_3_B,PC_36_4_A,PC_36_5_A,PC_38_2,PC_38_5_A,PC_p_36_3__PC_o_36_4,PE_34_2,SM_d32_1,TG_46_3,TG_48_0,TG_48_3,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_3,TG_54_4,TG_54_5,TG_56_4
B73_NAM,NA,3668189.8333333335,11399027.833333334,3.718298563583333,0.3755082728758333,4.7969874783,0.33630793061000003,7.073836492841667,0.006918754851583333,0.09309302267166666,0.006555445195833334,0.138847194515,92730.83333333333,18582.6,77484.41666666667,2804420.4166666665,685811.4166666666,9030.8,24205,14157.333333333334,23993.416666666668,104699.5,201975.33333333334,3805129.5833333335,1821569.4166666667,27385.083333333332,57849.75,45279.25,14508,301769.0833333333,308711,215947.5,2243506.5833333335,2111722.75,11971.916666666666,12777.416666666666,15618.416666666666,259900.58333333334,9654.6,2525.2,7438.333333333333,2889.2,8008.416666666667,36385.083333333336,23505,2376,20206.333333333332,18329.083333333332,36253.916666666664,144225.2,219077.2,67741.91666666667,10889.166666666666,43603.416666666664,117023.25,2694.8
LANMLR17B002,NA,3146358.5,14450287,4.6860965695,0.64848723245,6.4920382995,0.5407856766,13.572926405,0.0116209322195,0.11660311824,0.0097036938595,0.2433508702,60334.5,NaN,37252.5,2095256.5,953515,NaN,15189,23341,28700,41184,229162,4448584,2460305,44411.5,56758.5,43329,19247.5,486439,334399,402222,2422027.5,3270393,18909,11107.5,6754,302325.5,1291,NaN,3403.5,NaN,26427.5,31920.5,23193,NaN,14696.5,29285.5,28650,NaN,NaN,9242.5,27057,75983.5,98515,NaN
LANMLR17B003,NA,309991.6666666667,15533221.666666666,52.76521249,4.946498906666666,66.09961686333332,3.961190065,73.63214722000001,0.16078193906666666,2.1846539203333335,0.12870580413333332,2.393061826333333,91080.33333333333,4273,5458.666666666667,154077.66666666666,57950.666666666664,5474,28039,26261,34876,38218,361840.3333333333,5021271,3017689.6666666665,41399.666666666664,57754,50711.333333333336,20486.666666666668,385597,414556.3333333333,337633.6666666667,2271400.6666666665,3317571,15994.333333333334,21268.666666666668,4571.666666666667,344809,2680.5,1461,2544.6666666666665,539,16346.333333333334,24051.666666666668,12891.333333333334,549,4083,14728,12586.666666666666,62082,116690,26592.333333333332,11331.666666666666,25763.666666666668,20275,1449
LANMLR17B007,NA,3060985.5,11934890,3.9517114760000003,0.2370647482,2.5168046310000003,0.20006171565,4.887595751,0.0073927064775,0.06922762158,0.005666472224,0.1346090196,170352,19285,73013,2336624.5,471353.5,13999,22935,16580.5,25262.5,45620,167042.5,4263307.5,1707826,21646,67462,32467.5,13437,324559,290175,208492.5,2384413,2285409.5,14344.5,7469,11671.5,122850,6256,1297,4490,483,33766.5,25275,11756.5,830,5183,24543,10519,76629,91620,25675.5,32351.5,68984.5,23336,798
LANMLR17B010,NA,6552780,7237433.5,1.15624988705,0.110115555625,1.4106182585,0.13810337639,1.3030650706,0.0016769992514500001,0.021772345055,0.0020982212363,0.02009220933,57826.5,3291,67495,4375634,2050179,9795,36410.5,8665,9236,102568,101735.5,2456829,1420994.5,15916.5,28360.5,36031.5,11028,94622,123963,91534.5,1105286,1543924,6542.5,11024.5,17171.5,216447.5,8142,6090,15836,5717,15213.5,191911,149250,6720,68484,53121.5,58683.5,284836,513476,190081,21144.5,71278.5,127550.5,3386
LANMLR17B011,NA,3499728.5,7038935,2.1336663750000002,0.0394331027,0.6412257586,0.064750582475,1.06002602105,0.0011957650769999998,0.021623133845,0.0025447173178,0.036212429085,80472.5,16939.5,88557.5,2784522.5,529236.5,7910.5,19352.5,3224,8901.5,112452,55541,2331758,1396391.5,18298,44327.5,61176,6125,92483.5,125023,128975,1329527.5,1249756.5,3982,4642.5,39087.5,104130,9290.5,16236.5,9352,15013.5,10366,74517.5,63059.5,14860,49235.5,29472,38459,351616,630273.5,440716.5,13523.5,47634,117775,4521.5
LANMLR17B012,NA,2120884,7325445,3.453958349,0.2776312684,1.254543216,0.2097934389,1.178896494,0.01647796827,0.07445963641,0.01245165809,0.06996985292,138665,29755,97453,1641950,213061,7542,32601,27056,7606,233644,122259,2419256,1974011,30742,105610,190784,20445,114887,235678,251813,1394103,62700,19794,33661,41253,117352,60964,13284,27583,13744,38591,108745,129948,56218,16915,54836,112982,466857,695016,569782,39050,92707,261443,19160
LANMLR17B013,NA,3496598.5,9567236,5.11165789245,0.181391142605,1.6288748448,0.393456424235,1.90857423835,0.0133222041455,0.1332734829425,0.031728242832,0.14805733304500002,126416.5,19290,117128.5,3062292,181116.5,9005,115335,19277,16108.5,425027,164589.5,3409792.5,1863960,20736,83941.5,106838,40046.5,197909,205074,176641.5,1674254.5,1090317,22267.5,19670.5,89545.5,153306.5,66755,9895,40439.5,6334,18491.5,77451,56489,8055,14401,44630.5,71089.5,675709,611125,184226,26121,55222.5,126642.5,10260
LANMLR17B021,NA,267472,14190027.666666666,71.02686393,5.8643010066666665,79.63959961666667,5.286724571666666,106.52405192,0.16485140684,2.2387662673666666,0.14891941540333334,2.9409012656333333,73161.66666666667,6467.5,3193.6666666666665,139887,46918,2370.5,16077.666666666666,16177.333333333334,28492.333333333332,55895,219025,4497175.5,2635253,37487.333333333336,50086.333333333336,32206,14495,304008.3333333333,317999,341030,2236321,4811291,12787.666666666666,22138.333333333332,8430,457395.6666666667,5645,2026,13411.333333333334,797,5617.333333333333,19388,17744.5,905,10868.5,9902,18154,70530.5,136455.5,36371,7625.666666666667,20675.333333333332,61004.333333333336,1449
LANMLR17B023,NA,804252,16069345.5,20.85362416,0.5587655529,7.9176134855,0.92643744525,7.0886628985,0.05707675238,0.63850722195,0.106666396605,0.52460261125,80762,NaN,45956.5,586018.5,91515,NaN,118574.5,26499,13707,32815.5,328177,5217496,2687967,29530.5,118762.5,118578,47279,280743,436109.5,283823,2888351.5,3238923.5,22515,38435.5,67694.5,293161.5,NaN,NaN,45960,NaN,32467,49644,50563,NaN,11858,39158,54673.5,NaN,NaN,13464,28218,39146,81855.5,NaN
