RILS,BLOCK,Genos,LPCs,PCs,PCs_LPCs,PC32_1-LPC_18_1,PC34_1-LPC_18_1,PC36_1-LPC_18_1,PC36_2-LPC_18_1,PC32_1-LPC_18_2,PC34_1-LPC_18_2,PC36_1-LPC_18_2,PC36_2-LPC_18_2,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_16_0__9_0_CHO,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_2,PC_35_3,PC36_1,PC_36_2,PC_36_3_A,PC_36_3_B,PC_36_4_A,PC_36_5_A,PC_38_2,PC_38_5_A,PC_p_36_3__PC_o_36_4,PE_34_2,SM_d32_1,TG_46_3,TG_48_0,TG_48_3,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_3,TG_54_4,TG_54_5,TG_56_4
LANMLR17B033,MT2,RIL,8901367,3897969,0.4379067844,0.006852868331,0.03803802129,0.01210757079,0.1183061115,0.0003513640885,0.00195030665,0.0006207861246,0.006065856956,1230414,45381,239024,4661831,2724717,164663,2956,1638,2192,6198,9092,567378,1053808,3319,5628,4575,2894,28278,7161,34811,526190,1470499,3261,1361,2067,13862,7110,959,2508,1077,4025,3822,2547,554,714,3432,2508,4462,3089,4622,2621,1857,2843,581
LANMLR17B114,MT1,RIL,4081548,3215582,0.7878339297,0.06229759821,0.3400873271,0.06480926993,0.4211817648,0.00303341799,0.01655965953,0.00315571725,0.02050834027,63839,24009,171997,3532319,289384,35843,57273,10715,11716,127135,58494,872700,425512,22159,52844,35241,11147,72442,107106,17094,688326,457597,7958,27020,117260,80484,12191,10426,11088,18087,130911,225223,213770,9502,60972,164421,298326,976768,995899,867958,86872,166991,434233,6575
LANMLR17B013,MT1,RIL,5422428,4330449,0.7986180729,0.07185522371,0.1715184486,0.05754783317,0.4822989527,0.001958818801,0.004675701285,0.001568790294,0.01314777419,131119,19290,135105,4956048,180866,9005,30898,9708,14397,425027,23173,1470277,807227,16085,81848,130645,7775,65161,111168,88512,776236,123497,18713,14855,106242,39173,66755,9895,9098,6334,16000,98992,75565,8055,16254,52104,81407,675709,611125,349242,10548,52188,132061,10260
LANMLR17B153,MT1,RIL,9454610,7638197,0.8078807058,0.03433468343,0.522212863,0.03578296098,0.431826837,0.002803707536,0.04264294857,0.002921971235,0.03526219077,92998,NA,533047,6527785,2300780,NA,31449,18302,13495,131088,278364,2657723,1217062,19872,48821,51159,19074,230184,234170,140331,1147069,1320301,11436,15491,30789,156893,NA,NA,9151,NA,142267,84380,42660,NA,10003,109093,23667,NA,NA,13775,110214,243024,NA,NA
LANMLR17B029,MT1,RIL,5886459,5382974,0.9144672544,0.01893856878,0.3512553099,0.0260592528,0.5947473042,0.0003089723482,0.005730537463,0.0004251423972,0.009702975619,147138,15614,73448,4502021,1148238,4030,8639,1391,2042,76442,25799,1504076,917892,19567,30148,49413,1914,43683,76356,67712,1170572,1333249,1875,13343,34831,116020,9735,2857,1516,2896,2998,27941,21435,8756,21083,13248,16712,254426,488375,307022,3304,23829,63426,1520
LANMLR17B010,MT3,RIL,8349669,8078049,0.9674693691,0.1818246227,1.790225067,0.2373828024,1.691153201,0.002735038727,0.02692888793,0.003570754873,0.02543863108,60244,NA,84686,5629902,2574837,NA,61013,15398,9231,161662,151607,2732424,1500413,17429,34383,42672,20103,143217,139983,108849,1095491,1773243,11479,18960,19106,269902,NA,NA,29383,NA,23337,322327,248163,NA,122078,88332,91832,NA,NA,32955,33701,117652,194445,NA
LANMLR17B129,MT2,RIL,8268520,8721651,1.054801948,0.1031826845,0.978662437,0.1659356153,1.332752409,0.002420474445,0.02295760602,0.003892541837,0.03126390016,110650,NA,153204,6530951,1473715,NA,60052,15808,6919,33441,149935,3528525,1827712,33540,69243,101720,25422,204183,243913,157109,2009115,53925,8116,25835,66471,289670,NA,NA,13009,NA,18816,39409,29075,NA,20460,34050,49669,NA,NA,11316,41457,64076,152977,NA
LANMLR17B095,MT2,RIL,5863471,6363877,1.085342965,0.3115912698,2.540563492,0.6395714286,0.8887222222,0.01546122378,0.1260632902,0.03173566764,0.04409858196,113337,NA,252000,5078576,419558,NA,436144,78521,42001,NA,640222,2249143,861385,27982,78341,136009,161172,223958,168429,149668,796595,83635,28810,65017,121570,272081,NA,NA,220875,NA,85766,638562,353281,NA,44728,257958,450184,NA,NA,123773,113445,615094,1165015,NA
LANMLR17B027,MT1,RIL,5295386,5808897,1.09697329,0.01953678903,0.4232483288,0.02568142429,0.4525197506,0.0004051756994,0.008777795438,0.000532609992,0.009384858799,74135,8617,88858,4284561,839215,5733,15527,1736,4030,111035,37609,1833791,945843,18981,26519,44202,2282,40210,91414,49533,1306509,1224489,8031,13342,28081,63832,10701,11081,16216,10864,21585,67510,43441,13413,32864,30422,40951,286422,494864,271721,18932,33828,66216,2998
LANMLR17B010,MT1,RIL,4755891,6396818,1.345030405,0.03840648855,1.03101145,0.03882395038,0.9149769402,0.0006189597759,0.01661580218,0.0006256875996,0.01474578758,55409,3291,50304,3121366,1525521,9795,11808,1932,9241,43474,51864,2181234,1341576,14404,22338,29391,1953,46027,107943,74220,1115081,1314605,1606,3089,15237,162993,8142,6090,2289,5717,7090,61495,50337,6720,14890,17911,25535,284836,513476,347207,8588,24905,60656,3386
