,ROW_ID,PLANT_ID,FIELD,LOCATION,LAT,LON,ELE,SERIES,YEAR,ROW_NUM,PLANT_NUM,PLANTED,X1,Y1,X2,Y2,X_MID,Y_MID,CROSS,PANEL,TYPE,BLOCK,GENOTYPE,geno_pla,STOCK_FIELD,MUM_STOCK,DAD_STOCK,MUM_GEN,BLOCK_FIELD,lipid_batch_number,DTS,DTA,LPCs,PCs,CE_20_3,DG_34_2,DG_36_2,DG_36_3,DG_36_4,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_16_0__9_0_CHO,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_35_3,PC36_1,PC_36_2,PC_36_3_A,PC_36_3_B,PC_36_4_A,PC_36_4_C,PC_36_5_A,PC_36_5_B,PC_37_3,PC_38_2,PC_38_3_K,PC_38_5_A,PC_p_34_2__PC_o_34_3,PC_p_36_3__PC_o_36_4,PC_p_36_4__PC_o_36_5,PE_34_2,SM_d32_1,SM_d36_1,TG_46_0,TG_46_3,TG_48_0,TG_48_1,TG_48_2,TG_48_3,TG_50_0,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_0,TG_52_1,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_1,TG_54_2,TG_54_3,TG_54_4,TG_54_5,TG_54_6,TG_54_8,TG_56_4
18,RS16-2043,,MT2016,MT,19.2,-99.5,2582,RS,2016,2043,NA,4/5/16,-99.5477,19.22436364,-99.54767048,19.22436424,-99.54768524,19.22436394,,B73xPT,C,BLOCK1,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT1,BATCH2,152,144,4261712,7333289,NA,17873,NA,NA,9701,63294,13147,63386,3521462,600423,8356,9655,1453,3108,89183,42945,1986769,1497355,9146,NA,26632,14093,3909,63107,105407,65561,1841751,NA,1544661,NA,NA,3203,NA,4266,NA,12729,NA,94060,6397,NA,NA,2227,4158,NA,NA,6250,NA,3630,42215,30833,2819,9738,NA,NA,16611,20183,171509,296460,242195,NA,NA,3323,24197,50638,NA,NA,4137
19,RS16-2044,,MT2016,MT,19.2,-99.5,2582,RS,2016,2044,NA,4/5/16,-99.5477,19.22435682,-99.54767046,19.22435742,-99.54768523,19.22435712,,B73xPT,C,BLOCK1,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT1,BATCH2,145,146,2772873,9166479,NA,13458,NA,NA,11748,217530,45030,77380,2135949,296984,15891,14337,4336,8275,320464,69684,3031269,2191281,34708,NA,93276,97178,5987,125728,187737,170345,2590003,NA,123980,NA,NA,11603,NA,7407,NA,62990,NA,161663,7873,NA,NA,2851,6153,NA,NA,3505,NA,5290,10070,6485,3398,3366,NA,NA,5161,3553,43036,60835,59265,NA,NA,8323,3307,12798,NA,NA,2422
22,RS16-2047,,MT2016,MT,19.2,-99.5,2582,RS,2016,2047,NA,4/5/16,-99.54765704,19.2243577,-99.5476275,19.2243583,-99.54764227,19.224358,,B73xPT,C,BLOCK1,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT1,BATCH2,153,141,3722811,8490482,NA,4339,NA,NA,3823,85855,12221,58088,2913733,652914,4945,22706,3474,13082,293003,60907,2790692,1474824,31052,NA,31414,36622,3977,100728,155912,146873,1609142,NA,1685181,NA,NA,2424,NA,15127,NA,8397,NA,169744,13737,NA,NA,2409,3600,NA,NA,1282,NA,2004,13597,5559,1598,4007,NA,NA,2796,3916,61391,89438,69658,NA,NA,2634,9899,26517,NA,NA,884
70,RS16-2098,,MT2016,MT,19.2,-99.5,2582,RS,2016,2098,NA,4/5/16,-99.54761551,19.22460406,-99.54758647,19.22460467,-99.54760099,19.22460436,,B73xPT,C,BLOCK1,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT1,BATCH2,147,140,4179187,7256137,NA,15667,NA,NA,12883,61415,9539,70767,3066710,970756,2191,13500,4999,16692,19195,92955,3162722,1479843,20482,NA,42383,37531,8097,118111,222945,142376,1805973,NA,46572,NA,NA,2922,NA,9648,NA,7000,NA,87472,9202,NA,NA,3561,7737,NA,NA,1478,NA,7385,39066,25570,1887,13638,NA,NA,16846,31475,287923,420278,198497,NA,NA,9926,38331,108133,NA,NA,2450
79,RS16-2107,,MT2016,MT,19.2,-99.5,2582,RS,2016,2107,NA,4/5/16,-99.54761515,19.22454269,-99.54758598,19.2245433,-99.54760057,19.22454299,,B73xPT,C,BLOCK1,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT1,BATCH1,151,140,5833080,11757658,NA,NA,NA,NA,NA,70852,NA,168680,4422153,1171395,NA,19470,10896,19387,29115,191331,4049851,1814399,23944,NA,70222,50213,16759,365743,337056,259083,2150099,NA,2256874,12794,19922,14970,8204,10736,6130,20460,NA,150677,NA,3435,NA,NA,7115,9032,8045,NA,2217,17083,55126,29640,NA,22081,9400,4927,32460,61037,NA,NA,4389,NA,8178,15329,59159,136641,NA,NA,NA
105,RS16-2321,,MT2016,MT,19.2,-99.5,2582,RS,2016,2321,NA,4/5/16,-99.54739982,19.22439026,-99.54737034,19.22439086,-99.54738508,19.22439056,,B73xPT,C,BLOCK2,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT2,BATCH1,146,144,3612006,13975191,NA,NA,NA,NA,NA,115715,NA,52097,2366923,1077271,NA,15809,22742,38400,39962,326824,4366735,1938421,31091,NA,64897,37709,16603,456054,496550,284984,2441976,NA,3306074,17519,27692,20421,9006,9940,4232,1550,NA,299891,NA,1638,NA,NA,3571,2774,3838,NA,2764,8309,34013,21558,NA,23335,4620,4479,18090,39262,NA,NA,6885,NA,5155,9653,53962,139405,NA,NA,NA
119,RS16-2348,,MT2016,MT,19.2,-99.5,2582,RS,2016,2348,NA,4/5/16,-99.54740359,19.22457441,-99.54737448,19.22457503,-99.54738903,19.22457472,,B73xPT,C,BLOCK2,B73_NAM,,,B73_NAM,PSIB,B73_NAM,MT2,BATCH2,151,145,2279113,9625698,NA,15096,NA,NA,1767,82416,12976,62540,1814700,306481,13771,10625,4171,17767,20119,108635,3254036,1656967,30018,NA,45404,75375,10512,182848,217677,229555,1705255,NA,1998529,NA,NA,1925,NA,21263,NA,21246,NA,74104,11064,NA,NA,1578,1583,NA,NA,1931,NA,8826,23617,11867,2178,5843,NA,NA,14560,22339,157267,228375,159636,NA,NA,9322,23552,58063,NA,NA,3581
157,RS16-2530,,MT2016,MT,19.2,-99.5,2582,RS,2016,2530,NA,4/5/16,-99.54723465,19.22459162,-99.54720556,19.22459223,-99.54722011,19.22459193,,B73xPT,C,BLOCK3,B73_NAM,,,B73_NAM,,B73_NAM,MT3,BATCH1,148,146,1610089,15524290,NA,NA,NA,NA,NA,33624,NA,15673,1214100,346692,NA,30533,32284,45876,51588,370036,4692645,2236551,39221,NA,81661,44700,27844,535136,538680,389980,2651516,NA,3635147,21078,35851,17990,7939,19154,11327,7553,NA,588554,NA,10523,NA,NA,27019,3548,4435,NA,16277,7348,43549,25543,NA,21786,11129,3477,23998,50256,NA,NA,10416,NA,6400,15770,70696,179341,NA,NA,NA
176,RS16-2550,,MT2016,MT,19.2,-99.5,2582,RS,2016,2550,NA,4/5/16,-99.54719258,19.22459933,-99.54716351,19.22459995,-99.54717805,19.22459964,,B73xPT,C,BLOCK3,B73_NAM,,,B73_NAM,,B73_NAM,MT3,BATCH1,150,143,2089780,15248848,NA,NA,NA,NA,NA,68066,NA,27310,1429425,564979,NA,19531,30610,40741,68214,360653,5019577,2372690,43560,NA,51041,44960,20783,556592,293400,326202,2324303,NA,3556706,27280,25960,17655,10181,25761,10693,1755,NA,614270,NA,1616,NA,NA,2243,2817,4329,NA,1337,3740,25558,33940,NA,26883,6472,1415,5627,38580,NA,NA,16306,NA,1407,3754,19254,117086,NA,NA,NA
195,RS16-2582,,MT2016,MT,19.2,-99.5,2582,RS,2016,2582,NA,4/5/16,-99.54718493,19.22438101,-99.54715542,19.22438162,-99.54717017,19.22438132,,B73xPT,C,BLOCK3,B73_NAM,,,B73_NAM,,B73_NAM,MT3,BATCH1,146,141,4823623,12603590,NA,NA,NA,NA,NA,170959,NA,149463,3713946,789255,NA,39734,17518,32475,83603,314541,4223234,1581367,26147,NA,82483,39010,19766,464540,405670,227830,2492664,NA,2460432,14352,20724,19508,6062,7756,10529,13645,NA,314268,NA,NA,NA,NA,5105,4010,5628,NA,3215,7883,46048,26005,NA,31604,5904,3320,24154,51949,NA,NA,12465,NA,5735,14957,72603,191926,NA,NA,NA
