Zm00001d039542,Zm00001d017584,samp,experiment,plate,well,barcode,tube_num_full,tube_num,tissue_key,tissue,ID,temp_tx,fertilizer_tx,tray,pot,line,source,tissue_stage,date_planted,emergence_date,unique_id,harvest_date,genotype,inv4m_genotype,uniqueID,file,Filename,fastqc,Total_Sequences,plant,NEWID,new_line,new_inv4m_genotype,full_geno,group,inv_temp,fert_temp,fert_temp_geno
3.02054135278937,5.93914916696142,GC72_P1_ILLSINHA37,gc72,1,D5,ILLSINHA37,91,91,0,V3_Leaf_tissue,gc72012,warm,high,1,6,PT,,V3,3/2/2017,3/4/2017,warm_1_6_V3,3/13/2017,PT,Inv4m,gc72012_0,GC72_P1_ILLSINHA37_1.fq.gz,GC72_P1_ILLSINHA37_1.fq.gz,pass,2082573,gc72_1_warm_high_1_6_V3,gc72_1_warm_high_1_6_V3_V3_Leaf_tissue,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,high_warm,high_warm_PT
3.06123176980457,5.7992673383348,GC72_P1_ILLSINHA39,gc72,1,B5,ILLSINHA39,86,86,0,V3_Leaf_tissue,gc72054,warm,high,3,9,F1,,V3,3/2/2017,3/6/2017,warm_3_9_V3,3/13/2017,F1,H,gc72054_0,GC72_P1_ILLSINHA39_1.fq.gz,GC72_P1_ILLSINHA39_1.fq.gz,pass,3147936,gc72_1_warm_high_3_9_V3,gc72_1_warm_high_3_9_V3_V3_Leaf_tissue,,H,F1_,warm_NA_H,H_warm,high_warm,high_warm_F1
1.3655910234091,7.20796459379534,GC72_P1_ILLSINHA40,gc72,1,A5,ILLSINHA40,86.1,86,1,V3_Primary_root,gc72054,warm,high,3,9,F1,,V3,3/2/2017,3/6/2017,warm_3_9_V3,3/13/2017,F1,H,gc72054_1,GC72_P1_ILLSINHA40_1.fq.gz,GC72_P1_ILLSINHA40_1.fq.gz,pass,3580626,gc72_1_warm_high_3_9_V3,gc72_1_warm_high_3_9_V3_V3_Primary_root,,H,F1_,warm_NA_H,H_warm,high_warm,high_warm_F1
3.40756638709912,5.58372306802123,GC72_P1_ILLSINHA43,gc72,1,F6,ILLSINHA43,140,140,0,V3_Leaf_tissue,gc72172,warm,low,10,5,PT,,V3,3/2/2017,3/6/2017,warm_10_5_V3,3/14/2017,PT,Inv4m,gc72172_0,GC72_P1_ILLSINHA43_1.fq.gz,GC72_P1_ILLSINHA43_1.fq.gz,pass,3471393,gc72_1_warm_low_10_5_V3,gc72_1_warm_low_10_5_V3_V3_Leaf_tissue,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,low_warm,low_warm_PT
0.850617365569514,6.20756276674424,GC72_P1_ILLSINHA46,gc72,1,C6,ILLSINHA46,116.1,116,1,V3_Primary_root,gc72154,warm,low,9,5,F1,,V3,3/2/2017,3/4/2017,warm_9_5_V3,3/14/2017,F1,H,gc72154_1,GC72_P1_ILLSINHA46_1.fq.gz,GC72_P1_ILLSINHA46_1.fq.gz,pass,2918849,gc72_1_warm_low_9_5_V3,gc72_1_warm_low_9_5_V3_V3_Primary_root,,H,F1_,warm_NA_H,H_warm,low_warm,low_warm_F1
-1.49241527104645,6.23657515788078,GC72_P1_ILLSINHA47,gc72,1,B6,ILLSINHA47,140.1,140,1,V3_Primary_root,gc72172,warm,low,10,5,PT,,V3,3/2/2017,3/6/2017,warm_10_5_V3,3/14/2017,PT,Inv4m,gc72172_1,GC72_P1_ILLSINHA47_1.fq.gz,GC72_P1_ILLSINHA47_1.fq.gz,pass,2643613,gc72_1_warm_low_10_5_V3,gc72_1_warm_low_10_5_V3_V3_Primary_root,,Inv4m,PT_,warm_NA_Inv4m,Inv4m_warm,low_warm,low_warm_PT
-1.71795940300611,6.19799395771996,GC72_P1_ILLSINHA48,gc72,1,A6,ILLSINHA48,117.1,117,1,V3_Primary_root,gc72158,warm,low,9,7,B73,,V3,3/2/2017,3/6/2017,warm_9_7_V3,3/14/2017,B73,B73,gc72158_1,GC72_P1_ILLSINHA48_1.fq.gz,GC72_P1_ILLSINHA48_1.fq.gz,pass,2508747,gc72_1_warm_low_9_7_V3,gc72_1_warm_low_9_7_V3_V3_Primary_root,,B73,B73_,warm_NA_B73,B73_warm,low_warm,low_warm_B73
-1.64037445156821,6.17091067035692,GC72_P1_ILLSINHA49,gc72,1,H7,ILLSINHA49,226.1,226,1,V3_Primary_root,gc72356,cold,low,10,7,F1,,V3,3/2/2017,3/7/2017,cold_10_7_V3,3/23/2017,F1,H,gc72356_1,GC72_P1_ILLSINHA49_1.fq.gz,GC72_P1_ILLSINHA49_1.fq.gz,pass,7124882,gc72_1_cold_low_10_7_V3,gc72_1_cold_low_10_7_V3_V3_Primary_root,,H,F1_,cold_NA_H,H_cold,low_cold,low_cold_F1
-2.72555810371879,6.57624635328239,GC72_P1_ILLSINHA50,gc72,1,G7,ILLSINHA50,227.1,227,1,V3_Primary_root,gc72358,cold,low,10,8,PT,,V3,3/2/2017,3/8/2017,cold_10_8_V3,3/23/2017,PT,Inv4m,gc72358_1,GC72_P1_ILLSINHA50_1.fq.gz,GC72_P1_ILLSINHA50_1.fq.gz,pass,5920870,gc72_1_cold_low_10_8_V3,gc72_1_cold_low_10_8_V3_V3_Primary_root,,Inv4m,PT_,cold_NA_Inv4m,Inv4m_cold,low_cold,low_cold_PT
-3.1477913025581,6.25415588855557,GC72_P1_ILLSINHA51,gc72,1,F7,ILLSINHA51,274.1,274,1,V3_Primary_root,gc72346,cold,low,10,2,B73,,V3,3/2/2017,3/13/2017,cold_10_2_V3,3/28/2017,B73,B73,gc72346_1,GC72_P1_ILLSINHA51_1.fq.gz,GC72_P1_ILLSINHA51_1.fq.gz,pass,6945957,gc72_1_cold_low_10_2_V3,gc72_1_cold_low_10_2_V3_V3_Primary_root,,B73,B73_,cold_NA_B73,B73_cold,low_cold,low_cold_B73
