"","Plant","row","plant_n","DTA","DTS","ASI","Cas9","PLA","genotype"
"1","1_1","1","1",56,59,-3,"Negative","Negative","wt"
"2","1_2","1","2",57,60,-3,"Negative","Negative","wt"
"3","1_3","1","3",57,59,-2,"Negative","Negative","wt"
"4","1_4","1","4",57,59,-2,"Negative","Negative","wt"
"5","1_5","1","5",57,60,-3,"Negative","Negative","wt"
"6","1_6","1","6",57,60,-3,"Negative","Negative","wt"
"7","1_7","1","7",57,60,-3,"Negative","Negative","wt"
"8","1_8","1","8",61,NA,NA,"Negative","Negative","wt"
"9","1_9","1","9",60,62,-2,"Negative","Negative","wt"
"10","1_10","1","10",62,63,-1,"Negative","Negative","wt"
"11","1_11","1","11",59,61,-2,"Negative","Negative","wt"
"12","1_12","1","12",NA,NA,NA,"Negative","Negative","wt"
"13","1_13","1","13",59,61,-2,"Negative","Negative","wt"
"14","1_14","1","14",60,61,-1,"Negative","Negative","wt"
"15","1_15","1","15",NA,NA,NA,"Negative","Negative","wt"
"16","1_16","1","16",NA,NA,NA,"Negative","Negative","wt"
"17","1_17","1","17",57,61,-4,"Negative","Negative","wt"
"18","2_1","2","1",57,NA,NA,"Negative","Negative","wt"
"19","2_2","2","2",55,58,-3,"Negative","Negative","wt"
"20","2_3","2","3",57,60,-3,"Negative","Negative","wt"
"21","2_4","2","4",57,58,-1,"Negative","Negative","wt"
"22","2_5","2","5",58,58,0,"Negative","Negative","wt"
"23","2_6","2","6",59,61,-2,"Negative","Negative","wt"
"24","2_7","2","7",59,60,-1,"Negative","Negative","wt"
"25","2_8","2","8",60,59,1,"Negative","Negative","wt"
"26","2_9","2","9",60,62,-2,"Negative","Negative","wt"
"27","2_10","2","10",58,NA,NA,"Negative","Negative","wt"
"28","2_11","2","11",NA,NA,NA,"Negative","Negative","wt"
"29","2_12","2","12",NA,NA,NA,"Negative","Negative","wt"
"30","2_13","2","13",64,NA,NA,"Negative","Negative","wt"
"31","2_14","2","14",NA,NA,NA,"Negative","Negative","wt"
"32","2_15","2","15",60,60,0,"Negative","Negative","wt"
"33","2_16","2","16",60,64,-4,"Negative","Negative","wt"
"34","2_17","2","17",NA,NA,NA,"Negative","Negative","wt"
"35","2_18","2","18",NA,NA,NA,"Negative","Negative","wt"
"36","2_19","2","19",NA,NA,NA,"Negative","Negative","wt"
"37","2_20","2","20",62,63,-1,"Negative","Negative","wt"
