gene,US,MH,GH,AN,sum,max_PBE,max_PBE_pop,chr,pos,max_PCAdapt,enzyme_descriptors,pathway_ids,pathway_names
Zm00001d045927,1,1,1,1,4,1.94591114905581,MH,9,47487124,40.093761131962,Diacylglycerol O-acyltransferase 2,TRIGLSYN-PWY | zma00561,diacylglycerol and triacylglycerol biosynthesis
Zm00001d040629,1,1,1,1,4,1.80488726287361,GH,3,55087903,85.6658614460267,Lysophospholipid acyltransferase LPEAT1,zma00564,NA
Zm00001d042662,1,1,1,1,4,1.80488726287361,GH,3,175813673,9.49203675391722,Putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1D,PWY-6352,3-phosphoinositide biosynthesis
Zm00001d048835,1,1,1,1,4,1.54267271612209,MH,4,6146431,39.1969882831177,Phosphatidate phosphatase PAH2,TRIGLSYN-PWY | zma00561 | zma00564,diacylglycerol and triacylglycerol biosynthesis
Zm00001d031855,1,1,1,1,4,1.35402524340863,MH,1,204242693,8.16384665669091,GDSL esterase/lipase LTL1,LIPAS-PWY,triacylglycerol degradation
Zm00001d018593,1,1,1,1,4,1.3355809354829,US,7,180280,31.8946934346317,Digalactosyldiacylglycerol synthase 1 chloroplastic,PWY-401,galactolipid biosynthesis I
Zm00001d018594,1,1,1,1,4,1.3355809354829,US,7,180280,31.8946934346317,Digalactosyldiacylglycerol synthase 2 chloroplastic,PWY-401,galactolipid biosynthesis I
Zm00001d018595,1,1,1,1,4,1.3355809354829,US,7,180280,31.8946934346317,Sulfoquinovosyl transferase SQD2,PWYQT-4427 | zma00561,sulfoquinovosyl diacylglycerol biosynthesis
Zm00001d017036,1,1,1,1,4,1.26297895128879,US,5,183333072,18.0367720858857,Glycerophosphodiester phosphodiesterase GDPDL3,PWY-6952,glycerophosphodiester degradation
Zm00001d010373,1,1,1,1,4,1.25743747033311,AN,NA,NA,NA,Stem glycoprotein  ,PWY-6348,phosphate acquisition
Zm00001d030131,1,1,1,1,4,1.24375451574449,MH,1,108200639,2.27981548080993,Choline-phosphate cytidylyltransferase 2,PHOSLIPSYN2-PWY | PWY-3561 | PWY-4762 | PWY3O-450 | PWY4FS-2 | PWY4FS-5 | zma00564,superpathway of phospholipid biosynthesis II (plants) | choline biosynthesis III | superpathway of choline biosynthesis | phosphatidylcholine biosynthesis I | phosphatidylcholine biosynthesis II | superpathway of phosphatidylcholine biosynthesis
