markers,chr,pos,trait,lod
S1_1000282,1,0,lod.out.hk_LPCs,1.005967336168169
c1.loc1,1,1,lod.out.hk_LPCs,1.1633452053590077
S1_1763337,1,1.303948733,lod.out.hk_LPCs,1.1795336168411836
c1.loc2,1,2,lod.out.hk_LPCs,1.1264294778358703
S1_2039889,1,2.575782374,lod.out.hk_LPCs,1.0292030589811247
S1_2872271,1,2.575825858,lod.out.hk_LPCs,1.0292019449522058
c1.loc3,1,3,lod.out.hk_LPCs,0.8428989226034105
c1.loc4,1,4,lod.out.hk_LPCs,0.43875007595340776
c1.loc5,1,5,lod.out.hk_LPCs,0.1440643574966316
S1_2957312,1,5.270070937,lod.out.hk_LPCs,0.09067016602250533
c1.loc6,1,6,lod.out.hk_LPCs,0.052439492238477214
c1.loc7,1,7,lod.out.hk_LPCs,0.014623648166661951
c1.loc8,1,8,lod.out.hk_LPCs,1.3504644834938517e-4
S1_3081126,1,8.043122333,lod.out.hk_LPCs,4.905732834004084e-5
S1_3439048,1,8.043165817,lod.out.hk_LPCs,4.900789338080358e-5
c1.loc9,1,9,lod.out.hk_LPCs,0.0062370053566951356
S1_3474940,1,9.385070828,lod.out.hk_LPCs,0.012941574525768829
S1_4242048,1,9.385114312,lod.out.hk_LPCs,0.012941579534640368
S1_4545515,1,9.385157796,lod.out.hk_LPCs,0.012941577765559487
c1.loc10,1,10,lod.out.hk_LPCs,0.012714231117683994
c1.loc11,1,11,lod.out.hk_LPCs,0.011971744605943968
c1.loc12,1,12,lod.out.hk_LPCs,0.010700232967337797
c1.loc13,1,13,lod.out.hk_LPCs,0.008946358218679507
S1_5055764,1,13.91880431,lod.out.hk_LPCs,0.007088066114818048
c1.loc14,1,14,lod.out.hk_LPCs,0.007295942676535105
S1_5056272,1,14.94335527,lod.out.hk_LPCs,0.009803016929879504
c1.loc15,1,15,lod.out.hk_LPCs,0.010126257513263681
c1.loc16,1,16,lod.out.hk_LPCs,0.014725662712180565
S1_5629302,1,16.21731197,lod.out.hk_LPCs,0.015340552665577434
c1.loc17,1,17,lod.out.hk_LPCs,0.01742647371207795
S1_6193058,1,17.54875375,lod.out.hk_LPCs,0.01879558252392144
c1.loc18,1,18,lod.out.hk_LPCs,0.015772811095700945
S1_6193275,1,18.96900026,lod.out.hk_LPCs,0.00878467443436648
c1.loc19,1,19,lod.out.hk_LPCs,0.009165363090858136
c1.loc20,1,20,lod.out.hk_LPCs,0.025760089842037814
S1_6217305,1,20.43232528,lod.out.hk_LPCs,0.03472499355899572
c1.loc21,1,21,lod.out.hk_LPCs,0.036194868314225914
S1_7041748,1,21.82187594,lod.out.hk_LPCs,0.03826968186012891
c1.loc22,1,22,lod.out.hk_LPCs,0.03755241408470056
c1.loc23,1,23,lod.out.hk_LPCs,0.03253585758687905
c1.loc24,1,24,lod.out.hk_LPCs,0.02652742125792429
S1_7405122,1,24.45207865,lod.out.hk_LPCs,0.023761689759169258
c1.loc25,1,25,lod.out.hk_LPCs,0.01240954905927083
S1_8283470,1,25.66254301,lod.out.hk_LPCs,0.003416590406288833
c1.loc26,1,26,lod.out.hk_LPCs,0.004173636840675954
