"gene","US","MH","GH","AN","sum","max_PBE","max_PBE_pop","chr","pos","max_PCAdapt","description","pathway_name","pathway_id","heatmap"
"Zm00001d014386",1,1,1,1,4,1.10388064822764,"US",5,44144606,6.89546034221829,"Patatin-like protein 6","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d017584",1,1,1,1,4,0.858458806748976,"US",5,200699034,99.3125197800331,"Lysophospholipid acyltransferase 1","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d028482",1,1,1,0,3,1.38576153387033,"AN",1,36512600,15.2535297947243,"Patatin-like protein 3  ","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d020647",0,1,1,1,3,1.36769543193148,"GH",7,126452380,23.9969857414352,"Phospholipid:diacylglycerol acyltransferase 1","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d033683",1,0,1,1,3,1.25743747033311,"AN",1,271131943,1.35443621752142,"Phospholipase A2  ","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d052616",1,1,1,0,3,0.755478418898403,"AN",4,194839040,0.55365863533906,"Phospholipase A2  ","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d031053",1,0,1,0,2,1.19482833053658,"AN",1,174876795,2.52974458202481,"Patatin-like protein 6","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d007079",1,1,0,0,2,0.841305855899181,"AN",2,221788437,3.95361139645478,"Phospholipase A2 family protein","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d011927",1,0,1,0,2,0.803311771071037,"AN",8,164788135,5.24974431901891,"Phospholipid/glycerol acyltransferase family protein","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d033254",0,1,0,1,2,0.762777328774206,"US",1,256162991,18.1632927852037,"Patatin-like protein 6","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d034340",0,1,0,0,1,1.08410029191347,"US",1,290231131,1.21277648469316,"Patatin-like protein 6","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d018554",1,0,0,0,1,1.01755843017493,"AN",5,222955296,3.92417529730279,NA,"phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d026549",1,0,0,0,1,0.789520753280511,"AN",10,148013777,7.9138100793371,"N-acylphosphatidylethanolamine synthase","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d005911",1,0,0,0,1,0.706211721733068,"AN",2,192482383,0.754671634463688,"Patatin-like protein 2","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d031814",1,0,0,0,1,0.667463626726026,"AN",1,202667842,0.609284451446906,"Patatin class 1  ","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d052923",0,1,0,0,1,0.607320878832801,"US",NA,NA,NA,"Patatin-like protein 3","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d041481",0,0,0,0,0,0.498097001475182,"AN",3,122814707,18.3428207002063,"Patatin-like protein 6","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d033256",0,0,0,0,0,0.450106676222371,"AN",1,256162991,18.1632927852037,"Patatin-like protein 6","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d029412",0,0,0,0,0,0.373053017274228,"US",1,69429450,6.88380502050267,"Patatin-like protein 2","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d028505",0,0,0,0,0,0.321937629879319,"MH",1,37344155,10.031544179058,"Phospholipase A2-alpha","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d031811",0,0,0,0,0,0.281544022569068,"AN",1,202550784,3.26052375523009,"Patatin-like protein 2","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d031815",0,0,0,0,0,0.278664457957761,"AN",1,202687635,2.67193669724096,"Patatin-like protein 2","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d007616",0,0,0,0,0,0.24415859906776,"US",NA,NA,NA,"Patatin-like protein 2","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d007618",0,0,0,0,0,0.24415859906776,"US",NA,NA,NA,"Patatin-like protein 2","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d007604",0,0,0,0,0,0.220057051969004,"MH",2,236089227,3.1336941243325,"Patatin-like protein 2","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d031813",0,0,0,0,0,0.138605144625538,"MH",1,202635650,1.71410457719156,"Patatin-like protein 2","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d048841",0,0,0,0,0,0.0906318130089714,"GH",4,6234121,53.5982946820594,"Patatin-like protein 2","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d051836",0,0,0,0,0,NA,NA,4,171675931,61.7604195554865,"Phospholipase A2-beta","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d007623",0,0,0,0,0,NA,NA,2,236374369,3.53938972299424,"Patatin-like protein 2","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d005831",0,0,0,0,0,NA,NA,2,190290849,1.59876294375591,"Phospholipid:diacylglycerol acyltransferase 1","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d000203",0,0,0,0,0,NA,NA,NA,NA,NA,NA,"phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d007620",0,0,0,0,0,NA,NA,NA,NA,NA,"Patatin-like protein 2","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d013461",0,0,0,0,0,NA,NA,NA,NA,NA,"Phospholipase A2-alpha","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d040916",0,0,0,0,0,NA,NA,NA,NA,NA,NA,"phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d042870",0,0,0,0,0,NA,NA,NA,NA,NA,"Phospholipid:diacylglycerol acyltransferase 1","phospholipid remodeling (phosphatidylcholine, yeast)","PWY-7416",1
"Zm00001d014386",1,1,1,1,4,1.10388064822764,"US",5,44144606,6.89546034221829,"Patatin-like protein 6","phosphatidylcholine acyl editing","PWY-6803",2
"Zm00001d006507",1,1,1,1,4,1.07954328277888,"GH",2,210159983,23.6414439589248,"Phospholipase A I","phosphatidylcholine acyl editing","PWY-6803",2
"Zm00001d017584",1,1,1,1,4,0.858458806748976,"US",5,200699034,99.3125197800331,"Lysophospholipid acyltransferase 1","phosphatidylcholine acyl editing","PWY-6803",2
"Zm00001d039274",1,1,1,1,4,0.730807958863173,"GH",3,903181,5.02575083387104,"4-coumarate--CoA ligase-like 1","phosphatidylcholine acyl editing","PWY-6803",2
"Zm00001d047663",1,0,1,1,3,1.47737071622216,"US",9,138535809,5.09243572335911,"Acetate/butyrate--CoA ligase AAE7 peroxisomal","phosphatidylcholine acyl editing","PWY-6803",2
"Zm00001d028482",0,1,1,1,3,1.38576153387033,"AN",1,36512600,15.2535297947243,"Patatin-like protein 3  ","phosphatidylcholine acyl editing","PWY-6803",2
"Zm00001d053009",1,1,0,1,3,1.35402524340863,"MH",4,208868056,1.45286025306351,"Long chain acyl-CoA synthetase 9 chloroplastic","phosphatidylcholine acyl editing","PWY-6803",2
"Zm00001d021131",0,1,1,1,3,1.27334454589114,"GH",7,143430635,0.000944971733454614,"Phospholipase A(1) LCAT3","phosphatidylcholine acyl editing","PWY-6803",2
